|  Date:  20.03.2014 03:51:21  |  UserId: 1  |  Activity:  Logged in  
|  Date:  20.03.2014 05:45:02  |  UserId: 1  |  Activity:  Logged in  
|  Date:  20.03.2014 06:37:03  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 01:55:54  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 01:55:54  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 02:07:52  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 02:29:12  |  UserId: 1  |  Activity:  Created a blog post  
|  Date:  21.03.2014 02:29:14  |  UserId: 1  |  Activity:  Created a blog post  
|  Date:  21.03.2014 02:29:38  |  UserId: 1  |  Activity:  Created a blog post  
|  Date:  21.03.2014 02:31:35  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 02:59:37  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 03:15:19  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 04:41:40  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 05:52:25  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 06:13:10  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 06:38:47  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 07:07:01  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 07:37:48  |  UserId: 1  |  Activity:  1 viewed 11's profile.  
|  Date:  21.03.2014 07:38:31  |  UserId: 1  |  Activity:  1 viewed 11's profile.  
|  Date:  21.03.2014 07:38:59  |  UserId: 1  |  Activity:  1 viewed 11's profile.  
|  Date:  21.03.2014 07:39:22  |  UserId: 1  |  Activity:  1 viewed 11's profile.  
|  Date:  21.03.2014 07:40:36  |  UserId: 1  |  Activity:  1 viewed 11's profile.  
|  Date:  21.03.2014 07:41:30  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:45:41  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:46:41  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:46:54  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:47:19  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:47:22  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:48:27  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:48:53  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:48:57  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:49:08  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:49:18  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:50:00  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:50:43  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:50:55  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:52:12  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:52:56  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:54:20  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:59:31  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 07:59:38  |  UserId: 1  |  Activity:  1 viewed 91's profile.  
|  Date:  21.03.2014 08:15:00  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 08:16:29  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 08:16:55  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 08:18:56  |  UserId: 1  |  Activity:  Became friends with 81  
|  Date:  21.03.2014 08:19:31  |  UserId: 1  |  Activity:  Became friends with 121  
|  Date:  21.03.2014 08:24:49  |  UserId: 1  |  Activity:  1 viewed 1's profile.  
|  Date:  21.03.2014 08:24:55  |  UserId: 1  |  Activity:  1 viewed 1's profile.  
|  Date:  21.03.2014 08:25:37  |  UserId: 1  |  Activity:  1 viewed 1's profile.  
|  Date:  21.03.2014 08:26:21  |  UserId: 1  |  Activity:  1 viewed 1's profile.  
|  Date:  21.03.2014 08:26:24  |  UserId: 1  |  Activity:  Became friends with 1  
|  Date:  21.03.2014 08:26:26  |  UserId: 1  |  Activity:  1 viewed 1's profile.  
<<<<<<< HEAD
|  Date:  21.03.2014 10:37:10  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 10:38:49  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 10:39:27  |  UserId: 1  |  Activity:  Created a blog post  
|  Date:  21.03.2014 10:52:55  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:12:29  |  UserId: 1  |  Activity:  Logged in  
=======
<<<<<<< HEAD
|  Date:  21.03.2014 09:08:03  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 10:08:00  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 10:41:00  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:22:25  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:46:06  |  UserId: 1  |  Activity:  Logged in  
=======
|  Date:  21.03.2014 10:57:26  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:14:58  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:23:45  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:23:45  |  UserId: 1  |  Activity:  Logged in  
|  Date:  21.03.2014 11:30:07  |  UserId: 1  |  Activity:  Logged in  
>>>>>>> 34bc2d7fff1013b4ceb39575b576d6d893070c47
|  Date:  22.03.2014 12:13:08  |  UserId: 1  |  Activity:  Logged in  
>>>>>>> FETCH_HEAD
